;artists;Artist_origin;Song_Decade;music_key;Title;popularity;Language Specific Popularity
17967;Fats Waller;USA;1920;D#,Eb;Let's Get Away from It All;6;7.0
33515;Louis Armstrong;UK;1920;D#,Eb;When It's Sleepy Time Down South;3;4.0
33514;Louis Armstrong;UK;1920;D#,Eb;West End Blues;17;19.0
33513;Louis Armstrong;UK;1920;D#,Eb;Stardust;4;5.0
33512;Louis Armstrong;UK;1920;D#,Eb;My Sweet;3;4.0
33511;Louis Armstrong;UK;1920;D#,Eb;Mahogany Hall Stomp;5;6.0
33510;Louis Armstrong;UK;1920;D#,Eb;Chinatown, My Chinatown;4;5.0
33509;Louis Armstrong;UK;1920;D#,Eb;Body and Soul;18;22.0
33508;Louis Armstrong;UK;1920;C#,Db;When It's Sleepy Time Down South - Live;9;11.0
33507;Louis Armstrong;UK;1920;C#,Db;That Rhythm Man;4;5.0
33506;Louis Armstrong;UK;1920;C#,Db;Summer Song;19;21.0
33505;Louis Armstrong;UK;1920;C#,Db;Stardust;23;27.0
33504;Louis Armstrong;UK;1920;C#,Db;Rockin' Chair - Live;9;11.0
33503;Louis Armstrong;UK;1920;C#,Db;Rockin' Chair;9;11.0
33516;Louis Armstrong;UK;1920;E;Lazy River;21;25.0
33502;Louis Armstrong;UK;1920;C;On The Sunny Side Of The Street - Part 2;4;5.0
33500;Louis Armstrong;UK;1920;C;On The Sunny Side Of The Street - Live;31;35.0
33499;Louis Armstrong;UK;1920;C;Mack the Knife;67;73.0
33498;Louis Armstrong;UK;1920;C;I Can't Believe That You're In Love With Me;41;45.0
33497;Louis Armstrong;UK;1920;C;All Of Me;38;42.0
33496;Louis Armstrong;UK;1920;C;(What Did I Do to Be So) Black and Blue;5;6.0
33495;Louis Armstrong;UK;1920;C;(What Did I Do To Be So) Black And Blue;10;12.0
33494;Louis Armstrong;UK;1920;B;St. Louis Blues - Alternate Take B;4;5.0
33493;Louis Armstrong;UK;1920;B;St. Louis Blues;17;19.0
33492;Louis Armstrong;UK;1920;B;(What Did I Do to Be So) Black and Blue;3;4.0
33491;Louis Armstrong;UK;1920;A#,Bb;When You're Smiling - Non Vocal Take;5;6.0
33490;Louis Armstrong;UK;1920;A#,Bb;Song Of The Vipers;4;5.0
33489;Louis Armstrong;UK;1920;A#,Bb;Knockin' A Jug - 78 rpm Version;6;7.0
33488;Louis Armstrong;UK;1920;A#,Bb;Chicago Breakdown;6;7.0
33501;Louis Armstrong;UK;1920;C;On The Sunny Side Of The Street - Part 1;5;6.0
33517;Louis Armstrong;UK;1920;F;Between The Devil And The Deep Blue Sea;5;6.0
33518;Louis Armstrong;UK;1920;F;Blue Again;3;4.0
33519;Louis Armstrong;UK;1920;F;I've Got The World On A String;27;31.0
17289;Emma Liebel;France (France);1920;A#,Bb;Mon Paris;0;1.0
20211;Gaston Gabaroche;France (France);1920;A#,Bb;Je N'ai Pas Fait Ca Pour Ça Madame;0;1.0
20212;Gaston Gabaroche;France (France);1920;F;J'hésite;0;1.0
20213;Gaston Ouvrard;France (France);1920;G;Elle Met Des Chaussinettes;0;1.0
41437;Perchicot;France (France);1920;D;La Noce À Rebecca;0;1.0
41436;Perchicot;France (France);1920;A#,Bb;La Ronde De Nuit;0;1.0
41435;Perchicot;France (France);1920;A#,Bb;C'est La Mode Et Voila Tout;0;1.0
41434;Perchicot;France (France);1920;A;Je N'suis Pas Celle Que Vous Croyez;0;1.0
2011;Arletty;France (France);1920;E;Moi Je Cherche Un Emploi;0;1.0
4354;Bing Crosby;USA;1920;F#,Gb;How Deep Is the Ocean?;4;5.0
41902;Pierrette Mad;France (France);1920;C;Ca C'est Gentil Ca C'est Pas Mal;0;1.0
53730;Yvonne George;France (France);1920;D#,Eb;J'ai Pas Su Y Faire;0;1.0
53731;Yvonne George;France (France);1920;E;C'est Pour Ca Qu'on S'aime;0;1.0
17290;Emma Liebel;France (France);1920;D#,Eb;Rien Qu'une Nuit;0;1.0
17291;Emma Liebel;France (France);1920;F#,Gb;La Femme A La Rose;0;1.0
15227;Ella Fitzgerald;UK;1920;A#,Bb;All My Life - Live;19;21.0
391;Adolphe Bérard;France (France);1920;G;Les grains de beauté;0;1.0
390;Adolphe Bérard;France (France);1920;G;L'amour Au Clair De Lune;0;1.0
389;Adolphe Bérard;France (France);1920;E;Mirage;0;1.0
388;Adolphe Bérard;France (France);1920;E;Le Tapis Vert;0;1.0
387;Adolphe Bérard;France (France);1920;D#,Eb;Le Coeur Tzigane;0;1.0
386;Adolphe Bérard;France (France);1920;A#,Bb;J'ai Vendu Mon Âme;0;1.0
37290;Mildred Bailey;UK;1920;F;Shoutin' In That Amen Corner;2;3.0
33525;Louis Armstrong;UK;1920;G#,Ab;Struttin'With Some Barbecue;5;6.0
33524;Louis Armstrong;UK;1920;G#,Ab;Song of the Islands;7;8.0
33523;Louis Armstrong;UK;1920;G#,Ab;Love, You Funny Thing;8;10.0
33522;Louis Armstrong;UK;1920;G#,Ab;Ain't Misbehavin';32;35.0
33521;Louis Armstrong;UK;1920;G;When Your Lover Has Gone;22;26.0
33520;Louis Armstrong;UK;1920;F;Sweethearts on Parade;8;10.0
33487;Louis Armstrong;UK;1920;A;I Surrender Dear;12;14.0
14272;Dranem;France (France);1920;A;Est Ce Que Je Te Demande;0;1.0
13180;Dock Boggs;UK;1920;C#,Db;Sugar Baby - 2020 Remaster;8;10.0
1210;André Baugé;France (France);1920;D#,Eb;Ce N'est Que Votre Main Madame;0;1.0
37433;Mistinguett;France (France);1920;A;La belote;0;1.0
37434;Mistinguett;France (France);1920;A;Tout Ça C'est Pour Vous;0;1.0
26297;Jimmie Rodgers;UK;1920;G;Waiting for a Train;0;1.0
26305;Jimmie Rodgers;USA;1920;C#,Db;Ben Dewberry's Final Run;1;3.0
26306;Jimmie Rodgers;USA;1920;C#,Db;The Mystery of Number Five;2;3.0
26307;Jimmie Rodgers;USA;1920;C#,Db;The Soldier's Sweetheart;2;4.0
26308;Jimmie Rodgers;USA;1920;C#,Db;Train Whistle Blues;3;5.0
26309;Jimmie Rodgers;USA;1920;D;Away Out On the Mountain;2;4.0
26310;Jimmie Rodgers;USA;1920;D;Mulskinners Blues;4;5.0
26311;Jimmie Rodgers;USA;1920;D;My Blue Eyed Jane;0;1.0
26312;Jimmie Rodgers;USA;1920;D#,Eb;Blue Yodel No. 9;8;10.0
26313;Jimmie Rodgers;USA;1920;D#,Eb;Daddy and Home;3;5.0
26314;Jimmie Rodgers;USA;1920;D#,Eb;My Little Lady;3;5.0
15208;Edmond Roze;France (France);1920;F;Trop P'tit Trop Grand;0;1.0
26315;Jimmie Rodgers;USA;1920;D#,Eb;T for Texas;4;5.0
26317;Jimmie Rodgers;USA;1920;G;A Drunkard's Child;2;3.0
26318;Jimmie Rodgers;USA;1920;G;In the Jailhouse Now;3;4.0
26319;Jimmie Rodgers;USA;1920;G;She's Long She's Tall;0;1.0
25431;Jeanne Aubert;France (France);1920;G;Place Blanche;0;1.0
37435;Mistinguett;France (France);1920;A;Valencia;0;1.0
37436;Mistinguett;France (France);1920;A#,Bb;En Douce;0;1.0
37437;Mistinguett;France (France);1920;A#,Bb;Oh mademoiselle;0;1.0
37438;Mistinguett;France (France);1920;C;J'en Ai Marre;0;1.0
37439;Mistinguett;France (France);1920;C;Mon Bus'ness;0;1.0
37440;Mistinguett;France (France);1920;C;Rita;0;1.0
37441;Mistinguett;France (France);1920;C;Une Femme Qui Passe;0;1.0
37442;Mistinguett;France (France);1920;C#,Db;J'suis Nature;0;1.0
37443;Mistinguett;France (France);1920;C#,Db;Le Fado;0;1.0
26316;Jimmie Rodgers;USA;1920;F;For the Sake of Days Gone By;0;1.0
15209;Edmée Favart;France (France);1920;D;Chanson De Route De Ciboulette;0;1.0
37432;Mistinguett;France (France);1920;A;Ils n'ont pas ca;0;1.0
26296;Jimmie Rodgers;UK;1920;G;The Brakeman's Blues;2;3.0
1211;André Baugé;France (France);1920;F;Nous Avons Fait Un Beau Voyage;0;1.0
1216;André Chabro;France (France);1920;D;Délire;0;1.0
1238;André Urban;France (France);1920;A;Elle Porte Un Nom Charmant;0;1.0
1239;Andrée Turcy;France (France);1920;G;Mon Anisette;1;2.0
38639;Nina Myral;France (France);1920;D#,Eb;Dans Les Magasins;0;1.0
4417;Biscot;France (France);1920;D;Elle Sait Conduire Une Automobile Cécile;0;1.0
37303;Mildred Bailey;USA;1920;F;Shoutin' In That Amen Corner;2;3.0
39939;Noël-Noël;France (France);1920;B;Mariage Mondain;0;1.0
37421;Mirane Esbly;France (France);1920;G;J'ai Ri Puis J'ai Pleuré;0;1.0
17966;Fats Waller;USA;1920;D#,Eb;I'm Crazy 'Bout My Baby;12;14.0
25434;Jeanne Saint Bonnet;France (France);1920;G;Ta Bouche;0;1.0
25433;Jeanne Saint Bonnet;France (France);1920;E;Le Petit Amant;0;1.0
15211;Edouard Bervily,Lucy Perelli,Orchestre Edouard Bervily;France (France);1920;D#,Eb;Viens, je sais un pays;0;1.0
26280;Jimmie Rodgers;UK;1920;C#,Db;Ben Dewberry's Final Run;1;3.0
26281;Jimmie Rodgers;UK;1920;C#,Db;The Mystery of Number Five;2;3.0
26282;Jimmie Rodgers;UK;1920;C#,Db;The Soldier's Sweetheart;2;4.0
26283;Jimmie Rodgers;UK;1920;C#,Db;Train Whistle Blues;3;5.0
26284;Jimmie Rodgers;UK;1920;D;Away Out On the Mountain;2;4.0
26285;Jimmie Rodgers;UK;1920;D;Mulskinners Blues;4;5.0
26286;Jimmie Rodgers;UK;1920;D;My Blue Eyed Jane;0;1.0
26288;Jimmie Rodgers;UK;1920;D#,Eb;Daddy and Home;3;5.0
43542;Saint Granier;France (France);1920;E;Les P'tites Femmes;0;1.0
26289;Jimmie Rodgers;UK;1920;D#,Eb;My Little Lady;3;5.0
26290;Jimmie Rodgers;UK;1920;D#,Eb;T for Texas;4;5.0
26291;Jimmie Rodgers;UK;1920;F;For the Sake of Days Gone By;0;1.0
26292;Jimmie Rodgers;UK;1920;G;A Drunkard's Child;2;3.0
26293;Jimmie Rodgers;UK;1920;G;In the Jailhouse Now;3;4.0
26294;Jimmie Rodgers;UK;1920;G;She's Long She's Tall;0;1.0
26295;Jimmie Rodgers;UK;1920;G;She's Long, She's Tall;2;3.0
13188;Dock Boggs;USA;1920;C#,Db;Sugar Baby - 2020 Remaster;8;10.0
14273;Dranem;France (France);1920;A;J'ai eu tort;0;1.0
20210;Gaston Gabaroche;France (France);1920;A;Petit Loulou De Poméranie;0;1.0
14274;Dranem;France (France);1920;B;Je Suis Aimé;0;1.0
34478;Lys Gauty;France (France);1920;F;Le Paradis Du Rêve;0;1.0
33715;Louis Armstrong;USA;1920;G#,Ab;Struttin'With Some Barbecue;5;6.0
33714;Louis Armstrong;USA;1920;G#,Ab;Song of the Islands;7;8.0
33713;Louis Armstrong;USA;1920;G#,Ab;Love, You Funny Thing;8;10.0
33712;Louis Armstrong;USA;1920;G#,Ab;Ain't Misbehavin';32;35.0
33711;Louis Armstrong;USA;1920;G;When Your Lover Has Gone;22;26.0
34487;Léon Raiter;France (France);1920;F;Près De Toi Ma Brune;0;1.0
34488;Léon Raiter;France (France);1920;G;Le Tango Du Chat;0;1.0
34489;M. Malloire;France (France);1920;A#,Bb;Si Tu Veux Marguerite;3;5.0
34490;M. Malloire;France (France);1920;F;Séduction;0;1.0
33710;Louis Armstrong;USA;1920;F;Sweethearts on Parade;8;10.0
48781;The Mills Brothers;USA;1920;G#,Ab;Sweet Sue, Just You - Live;0;1.0
33709;Louis Armstrong;USA;1920;F;I've Got The World On A String;27;31.0
36288;Maurice Chevalier;France (France);1920;A;Dans La Vie Faut Pas S'en Faire;0;1.0
48773;The Mills Brothers;UK;1920;G#,Ab;Sweet Sue, Just You - Live;0;1.0
33708;Louis Armstrong;USA;1920;F;Blue Again;3;4.0
33707;Louis Armstrong;USA;1920;F;Between The Devil And The Deep Blue Sea;5;6.0
33706;Louis Armstrong;USA;1920;E;Lazy River;21;25.0
33705;Louis Armstrong;USA;1920;D#,Eb;When It's Sleepy Time Down South;3;4.0
33704;Louis Armstrong;USA;1920;D#,Eb;West End Blues;17;19.0
34063;Lucien Boyer;France (France);1920;C;Tu Verras Montmartre;0;1.0
10026;Cliff Edwards;UK;1920;G#,Ab;That's My Weakness Now;0;1.0
10027;Cliff Edwards;USA;1920;G#,Ab;That's My Weakness Now;0;1.0
42630;René Koval;France (France);1920;E;On Cherche Un Idéal;0;1.0
19851;Fred Gouin;France (France);1920;D;As Tu Vu;0;1.0
19852;Fred Gouin;France (France);1920;D;Colombinella;0;1.0
19853;Fred Gouin;France (France);1920;D#,Eb;Les Papillons De Nuit;0;1.0
19854;Fred Gouin;France (France);1920;D#,Eb;Marche Des Petits Pierrots;0;1.0
23418;Henry Laverne;France (France);1920;F;Les Épouseux Du Berry;0;1.0
36289;Maurice Chevalier;France (France);1920;A;Dites moi m'sieur chevalier;0;1.0
36290;Maurice Chevalier;France (France);1920;A;Marguerite;0;1.0
36291;Maurice Chevalier;France (France);1920;A#,Bb;C'est Merveilleux;0;1.0
2814;Berval;France (France);1920;C;Il Suffit D'un Rien;0;1.0
47677;The Boswell Sisters;UK;1920;E;Sentimental Gentleman From Georgia;5;6.0
47678;The Boswell Sisters;USA;1920;E;Sentimental Gentleman From Georgia;5;6.0
2795;Berthe Sylva;France (France);1920;G;Celosa;0;1.0
36316;Maurice Chevalier;France (France);1920;G#,Ab;Quand Il Y A Une Femme Dans Un Coin;0;1.0
36315;Maurice Chevalier;France (France);1920;G;Valentine;0;1.0
36314;Maurice Chevalier;France (France);1920;G;Si Vous N'aimez Pas Ca;0;1.0
36313;Maurice Chevalier;France (France);1920;G;Sans Avoir L'air D'y Toucher;0;1.0
36312;Maurice Chevalier;France (France);1920;G;Pas Pour Moi;0;1.0
36311;Maurice Chevalier;France (France);1920;G;Ose Anna;0;1.0
36310;Maurice Chevalier;France (France);1920;F#,Gb;Pour Bien Reussir Dans La Chaussure;0;1.0
36309;Maurice Chevalier;France (France);1920;F#,Gb;Ca vient ou ca n'vient pas;0;1.0
36308;Maurice Chevalier;France (France);1920;F;Ça M'est Égal;0;1.0
36307;Maurice Chevalier;France (France);1920;F;Dites Moi Ma Mère;0;1.0
36306;Maurice Chevalier;France (France);1920;F;C'est pas grand chose;0;1.0
36305;Maurice Chevalier;France (France);1920;E;Moi J'fais Mes Coups En Dessous;0;1.0
36304;Maurice Chevalier;France (France);1920;D#,Eb;Les ananas;0;1.0
36303;Maurice Chevalier;France (France);1920;D;Montrez Le Moi;0;1.0
36302;Maurice Chevalier;France (France);1920;D;Ma Regulière;0;1.0
36301;Maurice Chevalier;France (France);1920;D;Je Ne Dis Pas Non;0;1.0
36300;Maurice Chevalier;France (France);1920;D;Je M'donne;0;1.0
36299;Maurice Chevalier;France (France);1920;D;C'est Paris;0;1.0
36298;Maurice Chevalier;France (France);1920;D;Avec Le Sourire;0;1.0
36297;Maurice Chevalier;France (France);1920;C#,Db;On N'm'a Jamais Parle Comme Ça;0;1.0
36296;Maurice Chevalier;France (France);1920;C#,Db;Couplets De La Haut;0;1.0
36295;Maurice Chevalier;France (France);1920;C;Un P'tit Mouvement;0;1.0
36294;Maurice Chevalier;France (France);1920;C;Je N'peux Pas Vivre Sans Amour;0;1.0
36293;Maurice Chevalier;France (France);1920;C;Ca n'est pas la même chose;0;1.0
36292;Maurice Chevalier;France (France);1920;A#,Bb;C'etait Moi;0;1.0
19855;Fred Gouin;France (France);1920;E;Elle a perdu son pantalon;1;2.0
19856;Fred Gouin;France (France);1920;F#,Gb;Ramona;3;5.0
4291;Bing Crosby;UK;1920;F#,Gb;How Deep Is the Ocean?;4;5.0
33703;Louis Armstrong;USA;1920;D#,Eb;Stardust;4;5.0
33681;Louis Armstrong;USA;1920;A#,Bb;When You're Smiling - Non Vocal Take;5;6.0
33680;Louis Armstrong;USA;1920;A#,Bb;Song Of The Vipers;4;5.0
33679;Louis Armstrong;USA;1920;A#,Bb;Knockin' A Jug - 78 rpm Version;6;7.0
33678;Louis Armstrong;USA;1920;A#,Bb;Chicago Breakdown;6;7.0
33677;Louis Armstrong;USA;1920;A;I Surrender Dear;12;14.0
19990;Félix Mayol;France (France);1920;D;Elle Prend L'boulevard Magenta;0;1.0
19991;Félix Mayol;France (France);1920;D#,Eb;Mam'zell Accept'rez Vous;0;1.0
19992;Félix Mayol;France (France);1920;E;La Valse Du Faubourg;0;1.0
41441;Perchicot;France (France);1920;F;Quand On Aime On A Toujours Vingt Ans;0;1.0
14352;Dréan;France (France);1920;F;Elle s'etait fait couper les cheveux;1;2.0
14351;Dréan;France (France);1920;C#,Db;Si Tu Vois Ma Tante;0;1.0
14350;Dréan;France (France);1920;B;Éléonore;0;1.0
19993;Félix Mayol;France (France);1920;F;Elle Vendait Des P'tits Gateaux;0;1.0
14283;Dranem,Gaston Gabaroche;France (France);1920;E;Avec Son Pot D'géranium;0;1.0
41440;Perchicot;France (France);1920;F;La Chanson Française;0;1.0
41439;Perchicot;France (France);1920;F;Dites Moi Doumergue;0;1.0
20045;Gaby Montbreuse;France (France);1920;A#,Bb;Le Roudoudou;0;1.0
41438;Perchicot;France (France);1920;E;Sous Le Soleil Marocain;0;1.0
20046;Gaby Montbreuse;France (France);1920;D;C'est Au Bal Musette;0;1.0
20047;Gaby Montbreuse;France (France);1920;G#,Ab;D'la Vraie Amour;0;1.0
14279;Dranem;France (France);1920;G;Raymonde;0;1.0
14278;Dranem;France (France);1920;G;Le Moment De M'en Aller;0;1.0
14277;Dranem;France (France);1920;F;Ernestine tu t'obstines;0;1.0
35220;Marcelly;France (France);1920;C;La Chanson Des Yeux Clos;0;1.0
35237;Margaret Johnson;UK;1920;A#,Bb;Changeable Daddy Of Mine;6;7.0
35238;Margaret Johnson;USA;1920;A#,Bb;Changeable Daddy Of Mine;6;7.0
44117;Sarah Vaughan;UK;1920;G#,Ab;Ain't Misbehavin' - Live;0;1.0
14276;Dranem;France (France);1920;F;Aime Moi Emma;0;1.0
14275;Dranem;France (France);1920;C;Pourquoi N'aimes Tu Pas Les Femmes Henri;0;1.0
33682;Louis Armstrong;USA;1920;B;(What Did I Do to Be So) Black and Blue;3;4.0
37444;Mistinguett;France (France);1920;D;On M'suit;0;1.0
33683;Louis Armstrong;USA;1920;B;St. Louis Blues;17;19.0
33685;Louis Armstrong;USA;1920;C;(What Did I Do To Be So) Black And Blue;10;12.0
951;Alice Cocéa;France (France);1920;C;Si J'avais Su;0;1.0
33702;Louis Armstrong;USA;1920;D#,Eb;My Sweet;3;4.0
42629;René Koval;France (France);1920;C;Pas Sur La Bouche;0;1.0
42628;René De Buxeuil;France (France);1920;C;Y'a Des Loups;0;1.0
42627;René De Buxeuil;France (France);1920;C;L'âme des roses;0;1.0
33701;Louis Armstrong;USA;1920;D#,Eb;Mahogany Hall Stomp;5;6.0
33700;Louis Armstrong;USA;1920;D#,Eb;Chinatown, My Chinatown;4;5.0
32352;Lee Morse;USA;1920;C#,Db;He's Still My Baby - Woman To Woman;0;1.0
32351;Lee Morse;UK;1920;C#,Db;He's Still My Baby - Woman To Woman;0;1.0
33699;Louis Armstrong;USA;1920;D#,Eb;Body and Soul;18;22.0
33698;Louis Armstrong;USA;1920;C#,Db;When It's Sleepy Time Down South - Live;9;11.0
33697;Louis Armstrong;USA;1920;C#,Db;That Rhythm Man;4;5.0
33696;Louis Armstrong;USA;1920;C#,Db;Summer Song;19;21.0
33695;Louis Armstrong;USA;1920;C#,Db;Stardust;23;27.0
19927;Fréhel;France (France);1920;A;C'est La Valse Des Costauds;0;1.0
19928;Fréhel;France (France);1920;C;La Valse Des Coups De Pied Au Boum;0;1.0
33694;Louis Armstrong;USA;1920;C#,Db;Rockin' Chair - Live;9;11.0
19929;Fréhel;France (France);1920;C;Quand Il Joue De L'accordéon;0;1.0
19930;Fréhel;France (France);1920;E;C'est Lui C'est Tout;0;1.0
19931;Fréhel;France (France);1920;F;J'ai L'cafard;0;1.0
19932;Fréhel;France (France);1920;G#,Ab;La Vraie De Vraie;0;1.0
33693;Louis Armstrong;USA;1920;C#,Db;Rockin' Chair;9;11.0
33692;Louis Armstrong;USA;1920;C;On The Sunny Side Of The Street - Part 2;4;5.0
33691;Louis Armstrong;USA;1920;C;On The Sunny Side Of The Street - Part 1;5;6.0
33690;Louis Armstrong;USA;1920;C;On The Sunny Side Of The Street - Live;31;35.0
33689;Louis Armstrong;USA;1920;C;Mack the Knife;67;73.0
33688;Louis Armstrong;USA;1920;C;I Can't Believe That You're In Love With Me;41;45.0
33687;Louis Armstrong;USA;1920;C;All Of Me;38;42.0
33686;Louis Armstrong;USA;1920;C;(What Did I Do to Be So) Black and Blue;5;6.0
33684;Louis Armstrong;USA;1920;B;St. Louis Blues - Alternate Take B;4;5.0
37445;Mistinguett;France (France);1920;E;Gosse De Paris;0;1.0
26287;Jimmie Rodgers;UK;1920;D#,Eb;Blue Yodel No. 9;8;10.0
37447;Mistinguett;France (France);1920;E;La Java;0;1.0
17877;Fats Waller;UK;1920;A#,Bb;Somebody Stole My Gal;6;7.0
17876;Fats Waller;UK;1920;A#,Bb;Christopher Columbus;6;7.0
17875;Fats Waller;UK;1920;A;Rosetta;7;8.0
17874;Fats Waller;UK;1920;A;Mamacita;6;7.0
26322;Jimmie Rodgers;USA;1920;G;Waiting for a Train;0;1.0
17968;Fats Waller;USA;1920;D#,Eb;Lounging At the Waldorf;7;8.0
17878;Fats Waller;UK;1920;A#,Bb;The Joint Is Jumpin';12;14.0
17969;Fats Waller;USA;1920;D#,Eb;Lulu's Back In Town;7;8.0
17971;Fats Waller;USA;1920;D#,Eb;Viper's Drag;11;13.0
17748;Eugénie Buffet,René De Buxeuil;France (France);1920;C;Ma Chanson;0;1.0
17725;Ethel Waters;USA;1920;G#,Ab;You're Lucky To Me;1;2.0
1509;Aretha Franklin;UK;1920;F;Evil Gal Blues - Live;0;1.0
17724;Ethel Waters;USA;1920;G;Theif In The Night;1;2.0
17723;Ethel Waters;USA;1920;G;Hottentot Potentate - Live;1;2.0
17970;Fats Waller;USA;1920;D#,Eb;Our Love Was Meant to Be;10;12.0
17722;Ethel Waters;USA;1920;F#,Gb;No Man's Mama - A Woman's Choice;3;4.0
17879;Fats Waller;UK;1920;A#,Bb;Up Jumped You With Love;7;8.0
17881;Fats Waller;UK;1920;C;A Hopeless Love Affair;9;11.0
17894;Fats Waller;UK;1920;C;Star Dust;9;11.0
17893;Fats Waller;UK;1920;C;Smashin' Thirds;7;8.0
17892;Fats Waller;UK;1920;C;Patty Cake, Patty Cake;18;20.0
17891;Fats Waller;UK;1920;C;Old Grand Dad;8;10.0
17890;Fats Waller;UK;1920;C;Keepin' Out of Mischief Now;7;8.0
17889;Fats Waller;UK;1920;C;It's A Sin To Tell A Lie;10;12.0
17880;Fats Waller;UK;1920;C;A Good Man Is Hard to Find;6;7.0
17888;Fats Waller;UK;1920;C;I'm Gonna Sit Right Down and Write Myself a Letter;37;40.0
17886;Fats Waller;UK;1920;C;Blue, Turnin' Grey Over You;6;7.0
17885;Fats Waller;UK;1920;C;All That Meat And No Potatoes;16;18.0
17884;Fats Waller;UK;1920;C;Ain't Nothin' To It;16;18.0
17883;Fats Waller;UK;1920;C;"Ain't Misbehavin' - (from the musical comedy ""Connie's Hot Chocolates"")";13;15.0
26321;Jimmie Rodgers;USA;1920;G;The Brakeman's Blues;2;3.0
17882;Fats Waller;UK;1920;C;Ain't Misbehavin';45;49.0
17887;Fats Waller;UK;1920;C;How Can You Face Me?;11;13.0
17895;Fats Waller;UK;1920;C;Sugar Rose;11;13.0
17721;Ethel Waters;USA;1920;F;Please Don't Talk About Me When I'm Gone;4;5.0
17719;Ethel Waters;USA;1920;F;Maybe Not At All;1;2.0
17704;Ethel Waters;UK;1920;G;Hottentot Potentate - Live;1;2.0
17703;Ethel Waters;UK;1920;F#,Gb;No Man's Mama - A Woman's Choice;3;4.0
17702;Ethel Waters;UK;1920;F;Please Don't Talk About Me When I'm Gone;4;5.0
17701;Ethel Waters;UK;1920;F;Memories of You;1;2.0
17700;Ethel Waters;UK;1920;F;Maybe Not At All;1;2.0
17699;Ethel Waters;UK;1920;F;Honey In The Honeycomb;1;2.0
17705;Ethel Waters;UK;1920;G;Theif In The Night;1;2.0
17698;Ethel Waters;UK;1920;D;Heat Wave;24;27.0
37446;Mistinguett;France (France);1920;E;Il M'a Vue Nue;0;1.0
17695;Ethel Waters;UK;1920;C#,Db;Harlem On My Mind;11;13.0
17694;Ethel Waters;UK;1920;C#,Db;Cabin In The Sky;1;2.0
17693;Ethel Waters;UK;1920;C;Stormy Weather (Keeps Rainin' All The Time) - 78rpm Version;14;16.0
17692;Ethel Waters;UK;1920;C;Shake That Thing;3;4.0
17691;Ethel Waters;UK;1920;C;Come Up And See Me Sometime;2;3.0
17697;Ethel Waters;UK;1920;D;(What Did I Do To Be So) Black and Blue?;7;8.0
17720;Ethel Waters;USA;1920;F;Memories of You;1;2.0
17706;Ethel Waters;UK;1920;G#,Ab;You're Lucky To Me;1;2.0
17708;Ethel Waters;USA;1920;A#,Bb;My Kind Of Man;3;4.0
17718;Ethel Waters;USA;1920;F;Honey In The Honeycomb;1;2.0
17717;Ethel Waters;USA;1920;D;Heat Wave;24;27.0
17716;Ethel Waters;USA;1920;D;(What Did I Do To Be So) Black and Blue?;7;8.0
17715;Ethel Waters;USA;1920;C#,Db;I Just Couldn't Make It, Baby;3;4.0
17714;Ethel Waters;USA;1920;C#,Db;Harlem On My Mind;11;13.0
17713;Ethel Waters;USA;1920;C#,Db;Cabin In The Sky;1;2.0
17707;Ethel Waters;USA;1920;A;Taking A Chance On Love;2;3.0
45196;Sophie Tucker;UK;1920;G#,Ab;'Cause I Feel Lowdown;0;1.0
17712;Ethel Waters;USA;1920;C;Stormy Weather (Keeps Rainin' All The Time) - 78rpm Version;14;16.0
1495;Annette Hanshaw;USA;1920;A#,Bb;I Got 'It' But It Don't Do Me No Good;0;1.0
1494;Annette Hanshaw;UK;1920;A#,Bb;I Got 'It' But It Don't Do Me No Good;0;1.0
17711;Ethel Waters;USA;1920;C;Shake That Thing;3;4.0
17710;Ethel Waters;USA;1920;C;Come Up And See Me Sometime;2;3.0
17709;Ethel Waters;USA;1920;A#,Bb;You Can't Stop Me From Loving You;1;2.0
45197;Sophie Tucker;USA;1920;G#,Ab;'Cause I Feel Lowdown;0;1.0
17896;Fats Waller;UK;1920;C;The Jitterbug Waltz;8;10.0
17897;Fats Waller;UK;1920;C;Your Feet's Too Big;21;23.0
17898;Fats Waller;UK;1920;D;African Ripples;8;10.0
17949;Fats Waller;USA;1920;C;I'm Gonna Sit Right Down and Write Myself a Letter;37;40.0
17948;Fats Waller;USA;1920;C;How Can You Face Me?;11;13.0
17947;Fats Waller;USA;1920;C;Blue, Turnin' Grey Over You;6;7.0
17946;Fats Waller;USA;1920;C;All That Meat And No Potatoes;16;18.0
17945;Fats Waller;USA;1920;C;Ain't Nothin' To It;16;18.0
17944;Fats Waller;USA;1920;C;"Ain't Misbehavin' - (from the musical comedy ""Connie's Hot Chocolates"")";13;15.0
44482;Seger Ellis;USA;1920;E;To Be In Love;4;5.0
17943;Fats Waller;USA;1920;C;Ain't Misbehavin';45;49.0
17941;Fats Waller;USA;1920;C;A Good Man Is Hard to Find;6;7.0
17940;Fats Waller;USA;1920;A#,Bb;Up Jumped You With Love;7;8.0
17939;Fats Waller;USA;1920;A#,Bb;The Joint Is Jumpin';12;14.0
17938;Fats Waller;USA;1920;A#,Bb;Somebody Stole My Gal;6;7.0
17937;Fats Waller;USA;1920;A#,Bb;Christopher Columbus;6;7.0
17936;Fats Waller;USA;1920;A;Rosetta;7;8.0
17942;Fats Waller;USA;1920;C;A Hopeless Love Affair;9;11.0
